Toidu nimi (EST),"Energia (sh kiudained), kcal","Süsivesikud, imenduvad, g","Rasvad, g","Valgud, g","Alkohol, g","Vesi, g","Tuhk, g","Süsivesikud, kokku, g","Kiudained, g","Tärklis, g","Suhkrud, kokku, g","Sahharoos, g","Laktoos, g","Maltoos, g","Glükoos, g","Fruktoos, g","Galaktoos, g","Rasvhapped, kokku, g","Küllastunud rasvhapped, g","Monoküllastumata rasvhapped, g","Polüküllastumata rasvhapped, g","Trans-rasvhapped, g","Palmitiinhape (C16), g","Steariinhape (C18), g","Linoolhape (C18:2), g","Linoleenhape (C18:3), g","Kolesterool, mg","Naatrium, mg","Kaalium, mg","Kaltsium, mg","Magneesium, mg","Fosfor, mg","Raud, mg","Tsink, mg","Vask, mg","Mangaan, mg","Jood, µg","Seleen, µg","Kroom, µg","Nikkel, µg","Vitamiin A, RE","Retinool, µg","Beeta-karoteeni ekvivalent, BCE","Vitamiin D, µg","Vitamiin D3, µg","Vitamiin E, ?TE","Vitamiin K, µg","Vitamiin B1, mg","Vitamiin B2, mg","Niatsiini ekvivalent, kokku, NE","Niatsiin, mg","Niatsiini ekviv. trüptofaanist, mg","Pantoteenhape, mg","Vitamiin B6, mg","Biotiin, µg","Folaadid, µg","Vitamiin B12, µg","Vitamiin C, mg","Soola ekvivalent, g"
"Aedoad, värsked",27.29999924,3.400000095,0.100000001,1.700000048,0,91,0.699999988,6.400000095,3,1,2.400000095,0.400000006,0,0,0.800000012,1.200000048,0,0.079999998,0,0,0.059999999,0,0,0,0,0,0,0,284,51,26,40,1.200000048,0.400000006,0.07,0.25,0.699999988,0.300000012,1.200000048,14,9,0,110,0,0,0.100000001,47,0.050000001,0.059999999,1.100000024,0.699999988,0.400000006,0.5,0.100000001,7,57,0,18,0
"Aedoad, keedetud",28.11899948,3.502000093,0.103,1.751000047,0,90.73000336,0.721000016,6.592000008,3.089999914,1.029999971,2.471999884,0.412,0,0,0.824000001,1.235999942,0,0.061799999,0,0,0.061799999,0,0,0,0,0,0,0,292.519989,52.52999878,26.78000069,41.20000076,1.235999942,0.412,0.072099999,0.257499993,0.721000016,0.308999985,1.235999942,14.42000008,9.403900146,0,113.3000031,0,0,0.103,48.40999985,0.036049999,0.046349999,0.963050008,0.61285001,0.412,0.412,0.082400002,5.768000126,44.03250122,0,9.270000458,0
Agar-agar,160.1000061,0,0.300000012,2.299999952,0,19.89999962,3.200000048,74.09999847,74.09999847,0,0,,0,,,,,0.159999996,0.059999999,0,0.100000001,0,0.059999999,0,0,0,0,130,52,660,100,34,4.5,1.5,0,3.190000057,36000,0,,200,0,0,0,0,0,0,0,0.01,0,0.400000006,0.100000001,0,0.460000008,0,0,0,0,0,0.324999988
"Ahven, värske ",84.59999847,0,0.600000024,19.79999924,0,78.59999847,1,0,0,0,0,0,0,0,0,0,0,0.400000006,0.100000001,0.100000001,0.200000003,0,0.100000001,0,0,0,92,33,389,16,27,219,0.239999995,0.519999981,0,0.059999999,8,28,8.600000381,8,15,15,0,8,8,0.74000001,0,0.150000006,0.109999999,8.899999619,5.300000191,3.599999905,0.360000014,0.469999999,5,12,3.5,0,0.082500003
Ananass ,46.20000076,10.10000038,0.200000003,0.400000006,0,86.5,0.400000006,11.30000019,1.200000048,0,10,5.5,0,0,2,2.5,0,0.100000001,0,0,0.100000001,0,0,0,0,0,0,2,160,18,16,10,0.200000003,0.100000001,0.109999999,0.5,0,0,11,16,1.493999958,0,18,0,0,0.100000001,0.209999993,0.079999998,0.029999999,0.400000006,0.300000012,0.100000001,0.159999996,0.090000004,0.300000012,5,0,12,0.005
"Ananass, konserveeritud, vedelikuta",60.40000153,14.39999962,0,0.400000006,0,84.5,0.300000012,15,0.600000024,0,14.39999962,5,0,0,5,4.400000095,0,0,0,0,0,0,0,0,0,0,0,1.5,75,7,12,5,0.349999994,0.100000001,0,0.899999976,0,0,4,15,0.995999992,0,12,0,0,0.059999999,0.699999988,0.079999998,0.01,0.300000012,0.200000003,0.100000001,0.090000004,0.079999998,0.100000001,1,0,12,0.00375
"Angerjas, värske ",367,0,33,17.5,0,51.5,0.899999976,0,0,0,0,0,0,0,0,0,0,29.70000076,7.900000095,14.39999962,7.400000095,0,5.5,1.299999952,0.699999988,0.300000012,62.90000153,84,280,43,26,390,1,2.700000048,0,0,60,57,1.200000048,0.170000002,2500,2500,0,30,30,8,0,0.059999999,0.25,5.300000191,2.599999905,2.700000048,0.140000001,0.379999995,,12,4.400000095,0,0.209999993
Annoona,66.90000153,13.39999962,0.300000012,1.5,0,74.09999847,0.800000012,15.69999981,2.299999952,1.700000048,11.69999981,0.600000024,0,0,5.400000095,5.699999809,0,0.200000003,0.100000001,0,0.100000001,0,0,0,0,0.100000001,0,8,250,13,17,32,0.400000006,0.119999997,0.090000004,0.079999998,,1,,,0.207499996,0,2.5,0,0,0.270000011,,0.090000004,0.109999999,1.100000024,0.600000024,0.5,0.349999994,0.25999999,,23,0,15,0.02
Apelsin,42.70000076,8.5,0.100000001,1.100000024,0,86.09999847,0.5,10.19999981,1.700000048,0,8.199999809,4,0,0,2,2.200000048,0,0.059999999,0,0,0,0,0,0,0,0,0,5,150,47,10,21,0.100000001,0.100000001,0,0,2,1.200000048,1,3.599999905,3.901000023,0,47,0,0,0.239999995,0,0.109999999,0.039999999,0.5,0.400000006,0.100000001,0.370000005,0.100000001,1,31,0,54,0.0125
"Apelsin, koorega",30.10000038,5.900000095,0.100000001,0.800000012,0,60.29999924,0.400000006,7.099999905,1.200000048,0,5.900000095,2.700000048,0,0,1.5,1.700000048,0,0.059999999,0,0,0,0,0,0,0,0,0,3,110,33,7,15,0.100000001,0.100000001,0,0,1,0.800000012,0.699999988,2.5,2.739000082,0,33,0,0,0.170000002,0.079999998,0.079999998,0.029999999,0.400000006,0.300000012,0.100000001,0.25999999,0.07,0.699999988,22,0,38,0.0075
